STATION,DATE,year,month,MonthlyMeanTemperature
72403093738,2011-09-30T23:59:00,2011,9,69.1
72403093738,2011-10-31T23:59:00,2011,10,55.1
72403093738,2011-11-30T23:59:00,2011,11,49.1
72403093738,2012-01-31T23:59:00,2012,1,37.8
72403093738,2012-02-29T23:59:00,2012,2,41
72403093738,2012-03-31T23:59:00,2012,3,54.3
72403093738,2012-04-30T23:59:00,2012,4,54.1
72403093738,2012-05-31T23:59:00,2012,5,68.5
72403093738,2012-06-30T23:59:00,2012,6,71.9
72403093738,2012-07-31T23:59:00,2012,7,80.6
72403093738,2012-08-31T23:59:00,2012,8,77.1
72403093738,2012-09-30T23:59:00,2012,9,68.1
72403093738,2012-10-31T23:59:00,2012,10,56.8
72403093738,2012-11-30T23:59:00,2012,11,42.5
72403093738,2012-12-31T23:59:00,2012,12,41.9
72403093738,2013-01-31T23:59:00,2013,1,37.4
72403093738,2013-02-28T23:59:00,2013,2,35.3
72403093738,2013-03-31T23:59:00,2013,3,40.3
72403093738,2013-04-30T23:59:00,2013,4,56.1
72403093738,2013-05-31T23:59:00,2013,5,63.5
72403093738,2013-06-30T23:59:00,2013,6,73.3
72403093738,2013-07-31T23:59:00,2013,7,78.3
72403093738,2013-08-31T23:59:00,2013,8,73.6
72403093738,2013-09-30T23:59:00,2013,9,66.8
72403093738,2013-10-31T23:59:00,2013,10,58.4
72403093738,2013-11-30T23:59:00,2013,11,42.9
72403093738,2014-01-31T23:59:00,2014,1,27.2
72403093738,2014-02-28T23:59:00,2014,2,32.2
72403093738,2014-03-31T23:59:00,2014,3,37.4
72403093738,2014-04-30T23:59:00,2014,4,52.2
72403093738,2014-05-31T23:59:00,2014,5,64.2
72403093738,2014-06-30T23:59:00,2014,6,72.4
72403093738,2014-07-31T23:59:00,2014,7,74.2
72403093738,2014-08-31T23:59:00,2014,8,71.8
72403093738,2014-09-30T23:59:00,2014,9,67.5
72403093738,2014-10-31T23:59:00,2014,10,56.8
72403093738,2014-11-30T23:59:00,2014,11,41.8
72403093738,2015-01-31T23:59:00,2015,1,29.7
72403093738,2015-02-28T23:59:00,2015,2,25.4
72403093738,2015-03-31T23:59:00,2015,3,40.2
72403093738,2015-04-30T23:59:00,2015,4,54.7
72403093738,2015-05-31T23:59:00,2015,5,68.9
72403093738,2015-06-30T23:59:00,2015,6,73.4
72403093738,2015-07-31T23:59:00,2015,7,76
72403093738,2015-08-31T23:59:00,2015,8,74.6
72403093738,2015-09-30T23:59:00,2015,9,71
72403093738,2015-10-31T23:59:00,2015,10,55.2
72403093738,2015-11-30T23:59:00,2015,11,50.3
72403093738,2015-12-31T23:59:00,2015,12,48.7
72403093738,2016-01-31T23:59:00,2016,1,31.5
72403093738,2016-02-29T23:59:00,2016,2,36.9
72403093738,2016-03-31T23:59:00,2016,3,50.6
72403093738,2016-04-30T23:59:00,2016,4,54.1
72403093738,2016-05-31T23:59:00,2016,5,61.9
72403093738,2016-06-30T23:59:00,2016,6,73.1
72403093738,2016-07-31T23:59:00,2016,7,79.5
72403093738,2016-08-31T23:59:00,2016,8,79.4
72403093738,2016-09-30T23:59:00,2016,9,73.1
72403093738,2016-10-31T23:59:00,2016,10,59.4
72403093738,2016-11-30T23:59:00,2016,11,47.6
72403093738,2016-12-31T23:59:00,2016,12,38.2
72403093738,2017-01-31T23:59:00,2017,1,39.4
72403093738,2017-02-28T23:59:00,2017,2,44.8
72403093738,2017-03-31T23:59:00,2017,3,44.2
72403093738,2017-04-30T23:59:00,2017,4,61
72403093738,2017-05-31T23:59:00,2017,5,62.4
72403093738,2017-06-30T23:59:00,2017,6,73.1
72403093738,2017-07-31T23:59:00,2017,7,77.7
72403093738,2017-08-31T23:59:00,2017,8,73.3
72403093738,2017-09-30T23:59:00,2017,9,68.5
72403093738,2017-10-31T23:59:00,2017,10,61.1
72403093738,2017-11-30T23:59:00,2017,11,45.7
72403093738,2017-12-31T23:59:00,2017,12,35
72403093738,2018-01-31T23:59:00,2018,1,32.4
72403093738,2018-02-28T23:59:00,2018,2,42.4
72403093738,2018-03-31T23:59:00,2018,3,39.6
72403093738,2018-04-30T23:59:00,2018,4,51.6
72403093738,2018-05-31T23:59:00,2018,5,69.6
72403093738,2018-06-30T23:59:00,2018,6,72.6
72403093738,2018-07-31T23:59:00,2018,7,76.5
72403093738,2018-08-31T23:59:00,2018,8,77.2
72403093738,2018-09-30T23:59:00,2018,9,72.4
72403093738,2018-10-31T23:59:00,2018,10,58.7
72403093738,2018-11-30T23:59:00,2018,11,42.6
72403093738,2018-12-31T23:59:00,2018,12,38.8
72403093738,2019-01-31T23:59:00,2019,1,32.4
72403093738,2019-02-28T23:59:00,2019,2,38.3
72403093738,2019-03-31T23:59:00,2019,3,42.8
72403093738,2019-04-30T23:59:00,2019,4,59
72403093738,2019-05-31T23:59:00,2019,5,67.9
72403093738,2019-06-30T23:59:00,2019,6,73
72403093738,2019-07-31T23:59:00,2019,7,79.2
72403093738,2019-08-31T23:59:00,2019,8,76.2
72403093738,2019-09-30T23:59:00,2019,9,72.5
72403093738,2019-10-31T23:59:00,2019,10,60.5
72403093738,2019-11-30T23:59:00,2019,11,42.2
72403093738,2019-12-31T23:59:00,2019,12,39
72403093738,2020-01-31T23:59:00,2020,1,38.9
72403093738,2020-02-29T23:59:00,2020,2,41.4
72403093738,2020-03-31T23:59:00,2020,3,50.4
72403093738,2020-04-30T23:59:00,2020,4,51.9
72403093738,2020-05-31T23:59:00,2020,5,61.5
72403093738,2020-06-30T23:59:00,2020,6,73.7
72403093738,2020-07-31T23:59:00,2020,7,81
72403093738,2020-08-31T23:59:00,2020,8,77.7
